"file","lines","non_empty_lines","chars","line_by_line_sha256","file_sha256","changed_vs_first_pass"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\ErrorPageRenderer.cs","239","209","9528","7738c0d8d8129cbf0a7a3b71b869ece97f6a8cb6997052c759aeb568b93ab2cf","2FA8E5F791BFA1137DDC30F047CD63F3060F113A995321E93193A6053C8D71C1","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\FontRegistry.cs","533","472","19236","6503c32c0c8d20e5d741b57747fcbb576fee57085b76926c00861f2984cb6ee1","E9D1EAFF79B9F2DD40AD5CC3323281E54CD79A6259BC93E789AA7629B89CA8B4","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\HistoryEntry.cs","19","17","461","df7a85d7745ddbaf115351b348bdd42f71d83f2cb85d61ca776787feec5d1050","375FF4BAE6F8FEA656782DDFD2A155E370BC0CB616A9A21243A5C087FDB4AFEA","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\ImageLoader.cs","959","830","36631","b799ed20d55f4667a9eab998c60d45b42ecdf4b5d3631b84aaca3a23f4bb4e24","5E1E33B73400497CCBA045D13D89B86D5225A2E0335CAB9AFD44FBDD73EBB3CC","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Interaction\HitTester.cs","309","268","12797","590c4e13a1c7202a4ab17fbc138ae6438492925ce51beed9d99b1e5c5bfc2f7b","4E94FA7B91430A61795371C7CE5E7121BBC3C1FA13C2B847820CD3EE6B03ED16","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Interaction\ScrollbarRenderer.cs","334","285","13455","4a10a935bfc85c9bbc281df59061b638e0525c8ceb67eb7ac55c412a9fed6a60","29CCB99994F4A70EAE298EA468E7E99E6C3C2747183042E419A7E51A5217BE82","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Interaction\ScrollManager.cs","747","629","28656","d436a66fd51ce4a8099c0a4ac02c1b617db27a95386c0fa1fea7cc6d9a349ffe","DACAE603D63BC66B17A8B9334858F459886D3E83BF51B42B5714D85A41A3020F","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\IRenderBackend.cs","225","181","6774","83b9c852f7c16ba953ae8f8d0746dff3ff8689358661c6f6f859cb2420bc45c8","076183E611DFD3393D55E42C4D1664A2B7562BD9118035F13715DB6C3380A978","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\LiteDomUtil.cs","24","23","846","12829fce166429db7358e9008dd2877d8800270dea2bafd6b80beee00654ba7d","C2ED29D4861B3F8627142045D7421BC9CBD31C814BEF4760D89523B4CBA3C9A4","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\NavigationManager.cs","150","128","6597","913072490a5ea83ac2a8cb9d049ec1d12be4117faab585b6865d73ae6391c29e","4292E9858D191E9C338F39074B2B2AD1BA99B13A34A18739A3B861C1F9F8C759","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\NewTabRenderer.cs","182","164","5412","418b013560eb6e15e39c1fc0e0ecf378c221992c7df7478ac2188daa21951fb9","2243095D5F984D35A1611C291831733A1BF74BBFAE07226DFE7454D1030493C8","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Paint\LayoutTreeDumper.cs","323","272","11965","aa2c1fb7f78513eda75fb8eb79162e09f210bdc5078a18b6c691819391e8acbe","05D1958781CB35A50016DC7DEE8848526A1DCBCAE334CE425F30D42914972ED0","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Paint\PaintDebugOverlay.cs","262","227","8936","2ce7c4103b5eb3f381bb55c37f8181b026b56e1be4f6a479adf071ba8cd0a972","BD5EBD5263E4EFC4DDF3599DC576E3C4DE4BC99ADF4C042E65DF41FF047756E8","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Painting\BoxPainter.cs","435","381","16655","3d51085ca813eb3def6c46801348523a8eec22600021aaed77d3c712bc1237d6","83DD845E94275ABBCF7F76900CAD79DAD41815038F80CE0DBA99ADF290E1B3A3","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Painting\DisplayList.cs","43","37","1231","749119ac17c32046d033bdcbb2b7d938a23a37f24280346f6107fd6630fa6c6a","8EAEEB3B51E2F3E9AFD754E640FC91015ED0FA9CCE60410BB0295B867382E708","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Painting\DisplayListBuilder.cs","246","219","7492","494100967b462615b3128cf8a19255d1cb8669e722057c3372c81fd594adfdeb","BC0817415A0773BCF815A4742C7E434EDD23CF966892C24A696B5F0D71C8ED01","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Painting\ImagePainter.cs","267","232","8423","51ece288410d0acf37f863a2216ba32df168bfad80d5e8698b429dd765fc35fd","081C8CDD372227067B95E9429386163645E691B6754258BCE74E5A7F57EC7556","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Painting\Painter.cs","311","269","11154","d9c5004b615af45a6d26ad6a7df52c2454783a15477a60128ba4a347e0050144","7E539D79E90F5AB35C385579830796B3EA99A1CCDAB5EFC50FEEEAF152EEBD95","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Painting\StackingContextComplete.cs","499","411","19016","55f4f6f0adbf2232e6525e745246392305c84bed506393fc76d5668acab46fb1","1C4D2CF97811171DA5612DA7F5DE06CFCB4A0EBE482C765C1166B6616C0634D5","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Painting\StackingContextPainter.cs","363","303","11680","484b90dc54df0d8a9054059171da0ffe1c131933361f1d53e7b053b4d7103f9d","D6C6C21FA4A48EAA601D4C50A50CDE06ABBCDDF827C762365AE9BFAF1F1F37C8","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Painting\TextPainter.cs","444","380","16343","8ea3dd32047e1d00864017828f63135830bce276223080c5079344522f5ff925","0651A584F375B0A569EF667E8FA44EB474E7C962C3385365B2478FAA6E9A5FA8","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\PaintTree\ImmutablePaintTree.cs","172","147","5794","2d23e279f7224b5623aae8d8b1da08fac99e932fd8b76485cfc1ea18b224d628","0753A31B33C0B3BBD47C29FEDFB72553DC904B7076917A7784DB78A9641BE487","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\PaintTree\IPaintNodeVisitor.cs","22","22","755","6906d3e2ce54e0976f8971bf7441dce54872b5ad9ca6c32bb75771486225bcc6","67F088502C9ECF57ED768D1689184BFA8853802187DEAF36A9E6AAD5A56D944A","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\PaintTree\NewPaintTreeBuilder.cs","3983","3441","179754","a049cf37ce4c4382bdb80f6079b5a16c34a6f2f416bf8af48b4d0d844fe8ca60","F16D1F206519642B3B549E4F7BDC619314BFAFAD30D6B0BBC27752F62DF2E471","False"
