"file","lines","characters","score","state","todo","notImplemented","genericException","asyncVoid","emptyCatch","swallowCatch","taskRun","gcCollect","lockUsage","staticMutable","threadSleep","skiaNativeCtor"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Contexts\InlineFormattingContext.cs","962","42350","100","production","0","0","0","0","0","0","0","0","0","2","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Contexts\LayoutBoxOps.cs","59","2367","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Contexts\LayoutState.cs","57","1922","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Coordinates\LogicalTypes.cs","90","2561","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Coordinates\WritingModeConverter.cs","108","4127","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Tree\BoxTreeBuilder.cs","379","14710","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Tree\LayoutBox.cs","82","2598","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Tree\LayoutNodeTypes.cs","61","2256","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Observers\ObserverCoordinator.cs","564","21077","81","full","0","0","0","0","0","3","0","0","19","2","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\BidiResolver.cs","426","16140","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\BidiTextRenderer.cs","422","14142","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\BrowserApi.cs","3678","162223","28","basic","0","0","0","1","0","9","1","0","1","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\BrowserCoreHelpers.cs","42","1696","94","production","0","0","0","0","0","1","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\BrowserEngine.cs","81","2741","94","production","0","0","0","0","0","1","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\CssTransitionEngine.cs","338","14451","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\CustomHtmlEngine.cs","1879","87235","1","stub","0","0","0","0","0","35","3","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\DebugOverlay.cs","234","8719","100","production","0","0","0","0","0","0","0","0","0","0","0","3"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\ElementStateManager.cs","582","21630","100","production","0","0","0","0","0","0","0","0","2","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\ErrorPageRenderer.cs","239","10006","94","production","0","0","0","0","0","1","0","0","0","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\FontRegistry.cs","536","20861","57","partial","0","0","0","0","0","7","0","0","12","2","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\HistoryEntry.cs","19","499","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\ImageLoader.cs","1030","41024","61","partial","0","0","0","0","0","6","1","0","13","11","0","4"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\IRenderBackend.cs","225","7224","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\LiteDomUtil.cs","24","892","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\NavigationManager.cs","151","7220","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\NewTabRenderer.cs","182","5776","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
